"pmid";"value"
32933172;"Journal Article"
32907685;"Journal Article"
32911778;"Journal Article"
32920170;"Journal Article"
32924063;"Journal Article"
32930004;"Editorial"
32931783;"Journal Article"
32916686;"Editorial"
32912669;"Letter"
32923675;"Journal Article"
32923744;"Journal Article"
32904653;"Journal Article"
32928033;"Journal Article"
32925073;"Journal Article"
32931643;"Journal Article"
32920346;"Letter"
32921717;"Journal Article"
32916697;"Journal Article"
32921819;"Journal Article"
32905593;"Journal Article"
32928765;"Journal Article"
32929854;"Journal Article"
32921864;"Journal Article"
32903962;"Journal Article"
32913364;"Journal Article"
32924650;"Journal Article"
32920564;"Journal Article"
32907666;"Journal Article"
32918985;"Journal Article"
32905617;"Journal Article"
32920634;"Journal Article"
32909292;"Letter"
32929310;"Editorial"
32919351;"Journal Article"
32925659;"Journal Article"
32933913;"Journal Article"
32921878;"Journal Article"
32917095;"Letter"
32933917;"Journal Article"
32907820;"Journal Article"
32910469;"Journal Article"
32922735;"Journal Article"
32920642;"Journal Article"
32934903;"Case Reports"
32923381;"Journal Article"
32921713;"Journal Article"
32910817;"Journal Article"
32936769;"Journal Article"
32935406;"Journal Article"
32922774;"Journal Article"
32905601;"Journal Article"
32936048;"Journal Article"
32923449;"Journal Article"
32932328;"Journal Article"
32929124;"Journal Article"
32911647;"Journal Article"
32924837;"Editorial"
32904601;"Journal Article"
32926404;"Editorial"
32930544;"Journal Article"
32918766;"Journal Article"
32908676;"Journal Article"
32931679;"Journal Article"
32904582;"Journal Article"
32924965;"Journal Article"
32936682;"Journal Article"
32936772;"Journal Article"
32933536;"Journal Article"
32928688;"Letter"
32936245;"Journal Article"
32909956;"Journal Article"
32909725;"Journal Article"
32934943;"Editorial"
32936671;"Journal Article"
32911691;"Journal Article"
32933949;"Letter"
32911389;"Letter"
32907683;"Journal Article"
32917573;"Letter"
32924567;"Journal Article"
32932606;"Journal Article"
32907692;"Journal Article"
32914853;"Journal Article"
32907673;"Journal Article"
32917292;"Letter"
32920219;"Journal Article"
32936212;"Journal Article"
32905189;"Journal Article"
32905742;"Letter"
32935789;"Editorial"
32933530;"Journal Article"
32935333;"Journal Article"
32929476;"Journal Article"
32904906;"Journal Article"
32910458;"Journal Article"
32918090;"Journal Article"
32926097;"Journal Article"
32925166;"Journal Article"
32904860;"Journal Article"
32917554;"Journal Article"
32921965;"Journal Article"
32933031;"Journal Article"
32915762;"Journal Article"
32912600;"Journal Article"
32912655;"Journal Article"
32921811;"Journal Article"
32931327;"Editorial"
32930555;"Journal Article"
32912643;"Journal Article"
32904009;"Editorial"
32904505;"Editorial"
32921936;"Journal Article"
32921879;"Journal Article"
32921730;"Journal Article"
32914143;"News"
32924141;"Journal Article"
32933378;"Journal Article"
32926660;"Journal Article"
32923364;"Case Reports"
32921872;"English Abstract"
32935536;"English Abstract"
32914732;"Journal Article"
32927621;"Journal Article"
32921224;"Letter"
32917248;"Letter"
32917254;"Journal Article"
32908073;"Journal Article"
32913530;"Journal Article"
32931734;"Journal Article"
32910182;"Journal Article"
32936528;"Journal Article"
32921570;"Letter"
32923731;"Journal Article"
32921744;"Journal Article"
32921024;"Editorial"
32919152;"Letter"
32930066;"Journal Article"
32904861;"Journal Article"
32910806;"Journal Article"
32908673;"Journal Article"
32908046;"Journal Article"
32937259;"Journal Article"
32910736;"Journal Article"
32921805;"Journal Article"
32921944;"Journal Article"
32910922;"Journal Article"
32935958;"Journal Article"
32922769;"Case Reports"
32904846;"Journal Article"
32918573;"Journal Article"
32911161;"Journal Article"
32928876;"Journal Article"
